Key,Choice,Question,Alternative,Rail,Teton,Dirt,Gravel,Paved,Dist,Cost,gender,age_group,age,educ,res,emp,marr,house,house_inc,ID
271,0,7,1,1,0,1,0,0,1.68,167,1,0,0,4,1,1,2,1,0,3
272,0,7,2,0,1,1,0,0,0.89,57,1,0,0,4,1,1,2,1,0,3
273,1,7,3,0,0,0,0,0,0,0,1,0,0,4,1,1,2,1,0,3
281,0,8,1,1,0,0,1,0,0.49,26,1,0,0,4,1,1,2,1,0,3
282,0,8,2,0,1,0,0,1,0.89,57,1,0,0,4,1,1,2,1,0,3
283,1,8,3,0,0,0,0,0,0,0,1,0,0,4,1,1,2,1,0,3
291,0,9,1,1,0,0,1,0,0.49,167,1,0,0,4,1,1,2,1,0,3
292,0,9,2,0,1,1,0,0,1.06,48,1,0,0,4,1,1,2,1,0,3
293,1,9,3,0,0,0,0,0,0,0,1,0,0,4,1,1,2,1,0,3
211,0,1,1,1,0,1,0,0,3.09,91,1,1,21,3,2,6,2,1,1,4
212,1,1,2,0,1,0,0,1,0.89,20,1,1,21,3,2,6,2,1,1,4
213,0,1,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
221,0,2,1,1,0,1,0,0,3.09,26,1,1,21,3,2,6,2,1,1,4
222,1,2,2,0,1,0,1,0,0.36,48,1,1,21,3,2,6,2,1,1,4
223,0,2,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
231,0,3,1,1,0,0,0,1,0.49,91,1,1,21,3,2,6,2,1,1,4
232,1,3,2,0,1,0,0,1,0.36,48,1,1,21,3,2,6,2,1,1,4
233,0,3,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
241,1,4,1,1,0,0,0,1,1.68,26,1,1,21,3,2,6,2,1,1,4
242,0,4,2,0,1,0,1,0,0.36,57,1,1,21,3,2,6,2,1,1,4
243,0,4,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
251,0,5,1,1,0,1,1,0,3.09,26,1,1,21,3,2,6,2,1,1,4
252,1,5,2,0,1,0,1,0,1.06,20,1,1,21,3,2,6,2,1,1,4
253,0,5,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
261,0,6,1,1,0,0,0,1,1.68,91,1,1,21,3,2,6,2,1,1,4
262,0,6,2,0,1,1,0,0,1.06,20,1,1,21,3,2,6,2,1,1,4
263,1,6,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
271,0,7,1,1,0,1,0,0,1.68,167,1,1,21,3,2,6,2,1,1,4
272,1,7,2,0,1,1,0,0,0.89,57,1,1,21,3,2,6,2,1,1,4
273,0,7,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
281,0,8,1,1,0,0,1,0,0.49,26,1,1,21,3,2,6,2,1,1,4
282,1,8,2,0,1,0,0,1,0.89,57,1,1,21,3,2,6,2,1,1,4
283,0,8,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
291,0,9,1,1,0,0,1,0,0.49,167,1,1,21,3,2,6,2,1,1,4
292,0,9,2,0,1,1,0,0,1.06,48,1,1,21,3,2,6,2,1,1,4
