Case,Choice,Question,Alternative,Rail,Teton,Dirt,Gravel,Paved,Dist,Cost,gender,age_group,age,educ,res,emp,marr,house,house_inc,ID
25,0,7,1,1,0,1,0,0,1.68,167,1,0,0,4,1,1,2,1,0,3
25,0,7,2,0,1,1,0,0,0.89,57,1,0,0,4,1,1,2,1,0,3
25,1,7,3,0,0,0,0,0,0,0,1,0,0,4,1,1,2,1,0,3
26,0,8,1,1,0,0,1,0,0.49,26,1,0,0,4,1,1,2,1,0,3
26,0,8,2,0,1,0,0,1,0.89,57,1,0,0,4,1,1,2,1,0,3
26,1,8,3,0,0,0,0,0,0,0,1,0,0,4,1,1,2,1,0,3
27,0,9,1,1,0,0,1,0,0.49,167,1,0,0,4,1,1,2,1,0,3
27,0,9,2,0,1,1,0,0,1.06,48,1,0,0,4,1,1,2,1,0,3
27,1,9,3,0,0,0,0,0,0,0,1,0,0,4,1,1,2,1,0,3
28,0,1,1,1,0,1,0,0,3.09,91,1,1,21,3,2,6,2,1,1,4
28,1,1,2,0,1,0,0,1,0.89,20,1,1,21,3,2,6,2,1,1,4
28,0,1,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
29,0,2,1,1,0,1,0,0,3.09,26,1,1,21,3,2,6,2,1,1,4
29,1,2,2,0,1,0,1,0,0.36,48,1,1,21,3,2,6,2,1,1,4
29,0,2,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
30,0,3,1,1,0,0,0,1,0.49,91,1,1,21,3,2,6,2,1,1,4
30,1,3,2,0,1,0,0,1,0.36,48,1,1,21,3,2,6,2,1,1,4
30,0,3,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
31,1,4,1,1,0,0,0,1,1.68,26,1,1,21,3,2,6,2,1,1,4
31,0,4,2,0,1,0,1,0,0.36,57,1,1,21,3,2,6,2,1,1,4
31,0,4,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
32,0,5,1,1,0,1,1,0,3.09,26,1,1,21,3,2,6,2,1,1,4
32,1,5,2,0,1,0,1,0,1.06,20,1,1,21,3,2,6,2,1,1,4
32,0,5,3,0,0,0,0,0,0,0,1,1,21,3,2,6,2,1,1,4
33,0,6,1,1,0,0,0,1,1.68,91,1,1,21,3,2,6,2,1,1,4
33,0,6,2,0,1,1,0,0,1.06,20,1,1,21,3,2,6,2,1,1,4
