date,,run_walk,skate,blade,bike,own_bike,bike_wk_freq,lanes,paths,traffic,why_bike,kids_in_school,kids_walk,kids_bike,kids_bike_lane,kids_bike_path,asphalt,gravel,dirt,1_seg,2_seg,3_seg,4_seg,5_seg,6_seg,,c1,c2,c3,c4,c5,c6,c7,c8,c9,gender,age_group,age,educ,res,emp,marr,house,house_inc,id,,
2/20/2021 0:32,,4,,2,5,1,4,2,1,3,"1,2,3",2,,,,,2,1,3,3,2,1,5,6,4,,112,122,131,142,152,162,172,181,191,1,1,24,5,1,2,1,2,2,33,,
2/23/2021 5:58,,5,3,2,5,1,3,2,1,3,"1,2,3",2,,,,,2,1,3,3,1,2,4,5,6,,212,221,232,242,251,261,271,282,291,0,2,28,6,1,2,1,3,4,34,,
2/23/2021 7:58,,5,1,,4,1,,2,1,3,"1,2",2,,,,,1,3,2,3,2,1,6,5,4,,113,121,132,141,153,162,173,182,193,1,2,34,5,1,6,1,6,4,35,,
2/23/2021 14:44,,5,5,2,4,2,,,,,,2,,,,,1,2,3,2,3,6,4,5,1,,212,223,231,241,253,261,273,282,292,0,1,21,3,2,1,2,1,2,36,,
2/23/2021 14:45,,5,1,1,2,2,,,,,,2,,,,,1,2,3,4,1,2,3,5,6,,213,223,233,243,252,262,273,283,293,1,1,19,3,2,1,2,1,1,37,,
2/23/2021 14:59,,5,,1,2,2,,,,,,2,,,,,1,2,3,4,2,3,6,5,1,,111,122,132,141,152,161,171,181,192,1,1,19,3,2,6,2,1,1,38,,
2/23/2021 15:23,,4,4,3,3,2,,,,,,2,,,,,1,3,2,1,2,3,5,4,6,,212,221,232,242,252,261,271,282,292,1,1,19,3,2,1,2,1,1,39,,
2/23/2021 15:30,,4,,,1,2,,,,,,2,,,,,,,,1,3,2,5,4,6,,212,222,231,241,251,261,272,282,292,0,1,21,4,2,6,2,1,1,40,,
2/23/2021 15:33,,4,5,2,3,2,,,,,,2,,,,,1,2,3,5,1,3,4,6,2,,113,122,132,141,153,161,171,183,193,0,1,19,3,2,6,2,7,11,41,,
2/23/2021 15:57,,5,,,5,1,4,2,1,3,2,1,1,1,,,2,1,3,4,2,1,5,3,6,,111,121,132,142,,161,171,182,191,1,4,45,5,1,1,1,7,11,42,,
2/23/2021 15:58,,5,,,4,1,,2,1,3,"1,2",1,1,1,,,1,3,2,5,4,1,3,6,2,,212,221,233,243,253,262,272,283,292,1,3,42,6,1,2,1,5,11,43,,
2/23/2021 16:03,,4,,,5,1,4,,,,"1,2",2,,,,,1,3,2,5,4,6,3,1,2,,211,221,231,241,,261,271,281,291,1,1,22,4,3,1,1,2,2,44,,
2/23/2021 16:26,,5,2,2,5,1,3,1,2,3,"1,2,3",1,3,1,,,1,3,2,3,2,1,6,5,4,,112,122,132,141,152,162,172,182,192,1,3,37,5,1,1,1,5,10,45,,
2/23/2021 16:33,,5,2,,5,1,3,3,2,1,"1,2",1,3,2,2,2,1,3,2,3,1,2,4,6,5,,211,,232,241,251,262,272,282,292,1,2,33,4,1,6,1,5,10,46,,
2/23/2021 17:15,,5,3,,3,2,,,,,,2,,,,,1,3,2,1,2,3,4,5,6,,111,122,132,141,151,161,171,182,192,0,1,23,5,2,1,1,2,2,47,,
2/23/2021 18:52,,4,1,,3,2,,,,,,2,,,,,1,2,3,6,1,2,4,5,3,,212,222,232,241,252,261,272,282,291,1,1,24,3,1,2,1,2,5,48,,
2/23/2021 20:42,,5,,3,5,1,2,2,1,3,"1,2",1,1,1,,,2,3,1,3,2,1,6,5,4,,212,223,232,243,252,263,273,282,293,1,3,36,5,1,6,1,7,8,49,,
2/24/2021 7:56,,4,,,4,1,4,2,1,3,"1,2",2,,,,,1,3,2,,,,,,,,211,221,231,241,251,262,271,282,292,0,1,24,3,2,6,2,1,4,50,,
2/24/2021 11:20,,4,,3,3,2,,,,,,2,,,,,,,,,,,,,,,112,122,132,142,152,162,172,181,192,0,1,19,3,2,6,2,1,2,51,,
2/24/2021 12:51,,5,5,1,5,1,3,2,1,3,"1,2,3",2,,,,,,,,6,4,3,5,1,2,,111,121,131,141,151,161,171,181,191,1,2,25,5,1,2,1,2,3,52,,
2/24/2021 13:59,,4,4,,3,2,,,,,,2,,,,,1,3,2,5,2,1,6,4,3,,112,121,133,141,152,161,172,182,191,0,2,27,5,2,1,2,1,3,53,,
2/24/2021 16:02,,2,2,4,2,2,,,,,,2,,,,,1,2,3,,,,,,,,212,222,232,241,252,263,273,282,293,0,,,8,2,1,2,,,54,,
2/25/2021 10:43,,3,3,1,3,2,,,,,,2,,,,,,,,,,,,,,,112,121,132,142,152,162,172,182,192,0,1,19,3,2,6,2,6,10,55,,
3/1/2021 13:06,,5,2,4,5,1,3,3,1,2,"1,2",1,3,1,,,1,2,3,2,1,3,6,5,4,,212,222,232,242,252,262,272,282,292,1,4,50,5,1,2,1,4,11,56,,
3/1/2021 22:33,,5,,,3,1,4,1,2,3,3,2,,,,,2,1,3,1,2,3,4,5,6,,213,223,233,243,253,263,273,283,293,0,1,24,3,2,1,1,2,2,57,,
3/1/2021 22:36,,4,,2,4,2,,,,,,2,,,,,3,2,1,5,2,1,6,3,4,,211,221,231,241,252,262,272,282,292,1,2,25,5,1,6,1,4,2,58,,
3/1/2021 23:40,,5,,,5,1,,2,1,3,"1,2",1,3,2,2,2,1,2,3,3,2,1,6,5,4,,112,122,132,142,152,162,172,182,192,1,3,43,3,1,2,1,4,12,59,,
3/1/2021 23:56,,5,,,5,1,4,,,,"1,2",1,3,2,2,2,,,,,,,,,,,113,122,132,141,153,161,171,183,193,0,4,48,4,1,2,1,4,12,60,,
3/2/2021 12:40,,1,1,1,1,1,4,,,,1,2,,,,,1,2,3,5,1,3,6,4,2,,212,221,231,241,252,261,271,282,291,1,2,34,5,1,6,1,2,1,61,,
3/2/2021 16:27,,1,1,1,5,1,2,2,3,1,"1,2",2,,,,,1,2,3,5,4,3,2,1,6,,111,121,131,141,152,162,171,181,191,0,5,63,5,1,6,1,2,7,62,,
3/2/2021 23:03,,1,1,1,1,2,,,,,,2,,,,,1,2,3,2,4,1,3,5,6,,113,123,133,143,153,163,173,183,193,0,1,19,3,2,2,2,1,8,63,,
3/3/2021 14:31,,5,,,3,2,,,,,,2,,,,,3,1,2,6,2,3,5,1,4,,111,121,131,142,152,162,172,182,191,0,1,18,3,2,1,2,1,2,64,,
3/3/2021 15:31,,5,,,,2,,,,,,2,,,,,,,,,,,,,,,113,122,132,141,,161,171,182,191,1,1,24,5,2,2,2,1,1,65,,
3/3/2021 16:27,,5,4,,3,2,,,,,,2,,,,,1,3,2,2,6,5,4,1,3,,212,222,231,241,252,261,271,282,292,0,1,21,3,2,1,2,1,1,66,,
3/3/2021 18:20,,5,5,1,5,1,,2,1,3,1,2,,,,,,,,3,1,2,4,5,6,,111,122,132,141,151,161,171,181,191,0,2,30,5,3,2,1,7,12,67,,
